Item Name,Selling Price (Customer)
SAMSUNG SPIN PULLY NEW,120
GODREJ SPIN PULLY,120
GODREJ 8 HOURS FROST FREE TIMER,300
,
WHIRLPOOL RBI THERMOSTAT,200
THIMBAL,200
SAMSUNG PRESSURE SENSOR,300
LG PRESSURE SENSOR,350
WASHING MACHINE BUZZER,100
LG DOOR LOCK FRONT LOAD,450
SAMSUNG DOOR LOCK FRONT LOAD,450
IFB DOOR LOCK FRONT LOAD,450
LG MAGIC FITTER,150
SAMSUNG MAGIC FITTER,150
HMB MAGIC FITTER,40
VIJAY MAGIC FITTER,70
ANUPOORNA MAGIC FILTER,50
GODREJ POUCH CAPLARY,100
36 INCH CAPLARY,100
40 INCH CAPLARIY,110
25 GM DRIER,75
WHIRLPOOL DRAIN MOTOR ASS,550
WHIRLPOOL DUMP VALUE ASS,300
BABA DRIER,65
,
SAMSUNG THERMOSTAT,200
LG FROST FREE TIMER ,300
Frost free TIMER Samsung,300
WHIRLPOOL Frost Free TIMER,350
WHIRLPOOL Frosr Free TIMER LG TYPE,350
WHIRLPOOL R-600 Thermostat,210
VIDEOCON LINT FITTER ,30
SAMSUNG LINT FITTER ,40
GODREJ LINT FITTER,40
LG LINT FITTER,40
WHIRLPOOL LINT FITTER,50
WHIRLPOOL BIMETAL,200
WHIRLPOOL THARMAL FUSE,120
GODREJ BIMETAL 01751,150
LG BIMETAL ,170
GODREJ OVER FLOW PIPE INNER HOSE,250
SAMSUNG BIMETAL,170
T-11 THERMOSTAT(ANUPURNA),250
GODREJ 36 NO THERMOSTAT,200
WHIRLPOOL OPERA THERMOSTAT,200
,
SAMSUNG INLET VALVE SINGLE(0),300
SAMSUNG DOUBLE INLET VALVE(0),500
GODREJ SINGLE INLET VALVE,250
GODREJ SINGLE INLET VALVE OLD,250
   LG SINGLE INLET VALVE ,250
LG SINGLE DC AC TYPE INLET VALVE,250
LG DOUBLE INLET VALVE,400
WHIRLPOOL SINGLE INLET VALVE(L),250
WHIRLPOOL SINGLE INLET VALVE(0),350
DRAIN FITA CLOTH,30
TORCH GUARD,50
LG DRAIN MOTOR,550
SAMSUNG DRAIN MOTOR,450
LG DOUBLE DC INLET VALVE RED BLUE,550
  LG DC INLET VALVE BLUE,350
WHIRLPOOL R-600 RELAY,150
WHIRLPOOL 1340 RELAY,110
WHIRLPOOL 1340 OLP,110
LG THERMOSTAT,200
LG OLD  THERMOSTAT,200
,
1 PIN RELAY,70
88 RELAY,220
88 OLP,110
4941 RELAY (GRATWAL),200
SAMSUNG RELAY,180
GODREJ PTC RELAY 00178,150
4241 RELAY (GRATWAL),200
72 H3 OLP (ANUPURNA),150
AC RELAY (MICROTECH),250
1 MFD BLACK CAPACITOR,50
2 MFD BLACK CAPACITOR,60
3 MFD BLACK CAPACITOR,65
5 MFD BLACK CAPACITOR,80
2.5 MFD BLACK CAPACITOR,60
3.15 MFD BLACK CAPACITOR,70
1.5 MFD BLACK CAPACITOR,50
LG DRAIN VALVE,300
SAMSUNG DRAIN VALVE,300
IFB DRAIN VALVE,350
GODREJ APOXY,90
,
LG SINGLE LINE SPIN LID,400
LG DOUBLE LINE SPIN LID,400
LG WIND JET DRY SPIN LID,450
LG WIND JET DRY SPIN LID,450
VOLTAS BECKO FAST DRY SPIN LID,500
WHIRLPOOL SPIN LID,450
VIDEOCON SPIN LID,400
SAMSUNG SPIN LID AIR TURBO SPIN LID,500
LG 10001 PULSATOR,400
GODREJ 6502 GEAR BOX,450
WHIRLPOOL OVER FLOW PIPE,50
PATLA OVER FLOW PIPE,40
OVER FLOW PIPE WITH HOLDER,100
HAIER MAGIC FITTER,200
SMALL CLAMP METER,450
OVER FLOW PIPE,50
4 PIN RELAY,70
3 PIN RELAY,70
2 PIN RELAY,70
DRIER ANNPURNA,30
,
GODREJ MINI BLBC PCB 02839,1750
GODREJ EDGE FREEZER DOOR,220
GODREJ EDGE FREEZER FRAME,150
LG DC FAN SQUIRE,650
SAMSUNG DC FAN SQUIRE,650
GODREJ BLDC PCB 02408,1900
LG COCK PACK,80
DILEVERY CHARGE,
DRAIN PIPE 2 MTR,120
DRAIN PIPE 3 MTR,250
,
MARUTI REFRIGERATION,
OLP ,60
LG SINGLE DOOR PCB,1750
1/4 FLAIR NUT/FLARE NUT,35
3/8 FLAIR NUT/FLARE NUT,50
5/16 FLAIR NUT/FLARE NUT,55
1/2 FLAIR NUT/FLARE NUT,60
5/8 * 1/2 RADUSER NUT,80
1/4 DEAD NUT/DEAD NUT,35
5/16 DEAD NUT/DEAD NUT,45
1/4 SPLIT CAP,35
1/2 SPLIT CAP,50
3/8 SPLIT CAP,55
BALL VALVE,220
GAS CYLINDER VALVE,130
1/4 UNION ,60
WHIRLPOOL HINGE,80
LG HINGE,80
SAMSUNG HINGE,80
5/8 FLAIR NUT /FLARE NUT,90
0,
,
2 WAY FILTER VIJAY,65
3 WAY FILTER VIJAY,65
4 WAY FILTER VIJAY,65
5 MFD ROUND CAPACITOR,70
6 MFD ROUND CAPACITOR,80
3 MFD ROUND CAPACITOR,60
4 MFD ROUND CAPACITOR,70
10 MFD ROUND CAPACITOR,90
9+5 MFD ROUND CAPACITOR  (DIKEN),150
10+5 MFD CAPACITOR (JKB),160
11+6 MFD CAPACITOR (JKB),160
12+5 MFD CAPACITOR (JKB),170
2.5 MFD CAPACITOR ROUND,50
410 CHARGING PIPE,300
134 CHARGING PIPE,250
FILTER ADAPTOR,150
TORCH (KOVEA),250
80+100 MFD CAPACITOR (CONCAP),170
40+60 MFD CAPACITOR (CONCAP),150
60+80 MFD CAPACITOR,160
,
36 MFD (MTECH) CAPACITOR,160
50 MFD (MTECH) CAPACITOR,180
45 MFD (MTECH) CAPACITOR,170
120+150 MFD (DIKEN) CAPACITOR,190
150+200 MFD (DIKEN) CAPACITOR,200
100+120 MFD (DIKEN) CAPACITOR,180
55 MFD (DIKEN) CAPACITOR,220
1 MFD MICROWAVE CAPACITOR(DIKEN),250
1/2 BINDER /BINDER /BINDER,100
5/8 BINDER/ BINDER/BINDER,120
1/2 INDOOR BINDER,150
5/8 INDOOR BINDER,200
1/4 OUT DOOR VALVE,250
1/2 OUTDOOR VALVE,300
5/8 OUTDOOR VALVE,500
LG FROST FREE THERMOSTAT,220
WHIRLPOOL FROST FREE THERMOSTAT,270
SAMSUNG FROST FREE THERMOSTAT,225
LG OLD KNOB,20
GODREJ DC FAN 00166,750
,
BIG CLAMP METER (KOVEA),500
12 NO LED BULB,40
14 NO LED BULB,40
WIRE CUTTER /WIRE CUTTOR,90
CONTINUTY TESTER,80
LG DC DRAIN MOTOR,800
LANCER PCB,950
4000 UNIVERSAL PCB,950
SAMSUNG CHOKE PCB,550
SWING MOTOR MIX,250
250 MM TIE CABLE/CABAL,140
50+4 MFD (MTECH),220
55+4 MFD (MTECH),230
45+4 MFD (UNIQ),220
2 MTR FULLY PIPE,250
3 MTR FULLY PIPE ,350
4 INCH AC AXIAL FAN MOTOR,450
6 INCH AC AXIAL FAN MOTOR,650
FLARING TOOLS,550
DILEVERY CHARGE,
,
MARUTI REFRIGERATION,
FLORON 134 GAS,330
HALINGS COPPER PIPE,104
GODREJ R-134 PIN gas,350
BIG LPG,120
WELDING ROD,30
R-600 GODREJ GAS,300
R-290 GODREJ,325
HYDROCARBON GODREJ GAS,200
R-32 1KG GAS CAN,750
R-410 1KG GAS CAN,750
R-22 1KG GAS CAN,750
DILEVERY CHARGE,
,
MARUTI REFRIGERATION,
LUSTURE LG,50
DIGITAL THERMOMETER,120
FLUX ROUND SMALL,15
Godrej Chamber 01068,950
Godrej chamber 00214,1000
Door switch double,80
Door switch godrej ,60
Door switch double,60
Door switch godrej ,40
DELIVERY CHARGE,
MARUTI REFRIGERATION,
TORCH DOUBLE MOUTH,400
EDGE PRO COOLING COIL GODREJ OO211,950
MAGNATRON 610,900
MAGNATRON L G,850
MAGNATRON SAMSUNG ,850
MAGNATRON 210 SMALL,850
DIODE DOUBLE MICRO WAVE,80
DIODE SINGLE MICRO WAVE,70
AC DRAIN PIPE,100
"TOOLS BAG SAMSUNG,L.G",750
TOOLS BAG LEATHER L.G,700
LID SWITCH W/M WHITE,60
1/4 LIQUID DRIER WHITE PACK,200
SAMSUNG FAN MOTOR DC SQUARE,650
L G FROST FREE SENSOR,300
FLAME GUN TORCH,350
DELIVERY CHARGE,
MARUTI REFRIGERATION,
AC INSULATION FOAM 1/2,35
AC INSULATION FOAM 1/4,30
3 CORE WIRE (36.6),50
4 CORE WIRE (50) INVERTOR AC,60
FROST CARE TIMER GODREJ,1200
I BLUE DETERGENT LIQUID GODREJ,300
WHIRLPOOL PRESSURE SENSOR,350
 GODREJ DRAIN MOTOR,450
GODREJ GEAR BOX ASS GWS 7002 PPC,450
GODREJ THERMOSTAT DOUBLE DOOR(00038),210
GODREJ PCB A SPIN BASE Q1 REF D/D(02824),1400
GODREJ FREEZER DOOR ASS EDGE PRO,220
GODREJ INTAKE VALVE,250
 GODREJ RELAY (00178),150
GODREJ WATER LEVEL SENSOR,350
GODREJ SPD CHANNEL,22703
,50190
TROLLY GODREJ WHEEL BARROW GODREJ 00097,1200
 GODREJ SPIN MOTOR 70 WAT (00385),1000
GODREJ DEFROST TIMER 0-12HR,350
GODREJ AC STABLIZER 4KVA 130-280,3600
GODREJ FRIDGE STABLIZER 0.5 KVA(120-280),1800
GODREJ SPD CHANNEL,102990
GODREJ CONDENSOR COIL 200L,425
GODREJ CONDENSOR COIL 250L,500
GODREJ SPD CHANNEL,7139
3 PIN MAIN CORD,130
9V BATTERY(HW),35
FUSE (BIG),60
JORRIK SPRAY (MEDIUM),150
2032 BATTERY CELL,20
10 WATT LED BULB,350
FLEXKWIK GLUE,60
06 WIRE CUTTER EGO,110
07 WIRE CUTTER EGO,80
WIRE CUTTER 150 BLUE,60
CLAMP METER WIRE,120
CLAMP METER WIRE ORIGINAL,150
25 WATT SOLDING IRON ROD(SMAILL),130
25 WATT SOLDING IRON ROD(BIG),200
LINE TESTER (BEST),30
LINE TESTER (DUP),25
SOLDRING WIRE(10 GM),25
SOLDRING WIRE(30 GM),50
SOLDRING WIRE PASTE,25
,8075
L.G  freezer door,1
LG STAR I BOTTLE SHELF,120
PULSATOR SCREW,40
ANTIMOIST ,10
STAR I FREEZER DOOR,250
LG CHILL TRAY,350
VOLTAS DC INDOOR MOTOR A/C,1450
CAMIPRO DC INDOOR MOTOR A/C,1450
VOLTAS AC INDOOR MOTOR,1150
GODREJ DOOR SWITCH,60
MICROWAVE FUSE,100
MICROWAVE LID SWITCH,70
"1/2,1/4 COPPER(MPCL)",140
5/8 COPPER(GODREJ),130
WHIRLPOOL 170L CONDENSOR COIL,400
WHIRLPOOL 220L CONDENSOR COIL,475
HYDROCARBON GODREJ GAS,200
R-290 GODREJ,325
MARUTI REFRIGERATION,
R-600 GODREJ GAS,300
FLORON 134 GAS,360
GODREJ BLDC PCB(02408),1900
GODREJ MINI BLDC PCB(02839),1750
GODREJ MINI 3 JACK PCB(01842),1800
GODREJ KNOB PCB(02824),1700
WHIRLPOOL FROST FREE THERMOSTAT,210
